Light ,Cardio,"3 exercises: 
Burpees - 15 rep
Jumping Jacks - 15 rep
Mountain climbers - 15 rep"
Light ,Yoga,"3 exercises: 
Child's pose - 30 sec
Downward-Facing Dog - 30 sec
Plank pose - 30 sec"
Light ,Weight training,"3 exercises: 
Dumbbell chest fly - 15 rep
Single-leg squat - 15 rep
Dumbbell overhead triceps extension - 15 rep"
Moderate,Cardio,"5 exercises: 
Burpees - 15 rep
Jumping Jacks - 15 rep
Mountain climbers - 15 rep
Squat jumps - 15 rep
Inchworms - 15 rep"
Moderate,Yoga,"5 exercises: 
Child's pose - 30 sec
Downward-Facing Dog - 30 sec
Plank pose - 30 sec
Cobra pose - 30 sec
Tree pose - 30 sec"
Moderate,Weight training,"5 exercises: 
Dumbbell chest fly - 15 rep
Single-leg squat - 15 rep
Dumbbell overhead triceps extension - 15 rep
Push-ups - 15 rep
Dips - 15 rep"
Active,Cardio,"7 exercises: 
Burpees - 15 rep
Jumping Jacks - 15 rep
Mountain climbers - 15 rep
Squat jumps - 15 rep
Inchworms - 15 rep
Lateral Shuffles - 15 rep
Lunges - 15 rep"
Active,Yoga,"7 exercises: 
Child's pose - 30 sec
Downward-Facing Dog - 30 sec
Plank pose - 30 sec
Cobra pose - 30 sec
Tree pose - 30 sec
Triangle pose - 30 sec
Seated Half-Spinal Twist Pose - 30 sec"
Active,Weight training,"7 exercises: 
Dumbbell chest fly - 15 rep
Single-leg squat - 15 rep
Dumbbell overhead triceps extension - 15 rep
Push-ups - 15 rep
Dips - 15 rep
Deadlift - 15 rep
Leg press - 15 rep"